,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
1535,603010,万盛股份,0.0886,0.0722,1.4339,0.1842,21.9572
1536,601800,中国交建,0.0885,0.0503,2.0049,0.0663,9.568
1537,2106,莱宝高科,0.0884,0.0755,2.3732,0.4013,52.1505
1538,600216,浙江医药,0.0884,0.0514,2.1018,0.25,27.707
1539,2657,中科金财,0.0884,0.0238,,0.0543,5.7265
1540,2381,双箭股份,0.0884,0.0485,0.9708,0.2659,26.7334
1541,2937,兴瑞科技,0.0884,0.1233,0.9267,0.3029,30.2893
1542,600894,广日股份,0.0883,0.0462,1.0172,0.1957,19.842
1543,2879,长缆科技,0.0883,0.0323,0.4505,0.1872,23.043
1544,600792,云煤能源,0.0881,0.074,,0.1705,22.6253
1545,2084,海鸥住工,0.0881,0.0747,1.8832,0.2383,28.8622
1546,2367,康力电梯,0.0881,0.0515,0.8807,0.1584,16.7644
1547,603308,应流股份,0.0879,0.0178,2.1412,0.0311,3.8442
1548,59,华锦股份,0.0879,0.0957,1.5274,0.162,16.6777
1549,603936,博敏电子,0.0878,0.0653,2.3688,0.1124,12.1837
1550,603877,太平鸟,0.0878,0.1016,1.3851,0.2183,25.2762
1551,603076,乐惠国际,0.0878,0.0477,1.0882,0.0965,9.7015
1552,603507,振江股份,0.0878,0.0429,0.7136,0.1492,16.7416
1553,2782,可立克,0.0878,0.0708,1.413,0.258,26.242
1554,2779,中坚科技,0.0876,0.046,1.6296,0.1848,18.624
1555,600332,白云山,0.0875,0.0648,0.8655,0.2026,22.1759
1556,601968,宝钢包装,0.0874,0.0696,23.7835,0.1116,12.3274
1557,2291,星期六,0.0873,0.0412,,0.0784,9.1357
1558,603788,宁波高发,0.0869,0.0462,0.4452,0.2608,26.0955
1559,600439,瑞贝卡,0.0867,0.0379,0.7831,0.0948,30.4865
1560,756,新华制药,0.0864,0.0739,1.7626,0.1447,26.1579
1561,603233,大参林,0.0863,0.11,1.3493,0.212,21.3653
1562,623,吉林敖东,0.0862,0.0117,0.139,0.1946,26.5117
1563,600277,亿利洁能,0.0861,0.0464,1.8062,0.1009,17.6377
1564,2352,顺丰控股,0.0859,0.1059,1.2855,0.245,28.352
1565,2064,华峰氨纶,0.0857,0.0639,0.9224,0.1645,20.0269
1566,2112,三变科技,0.0857,0.0393,,0.0581,6.2389
1567,2277,友阿股份,0.0856,0.048,2.2896,0.091,14.653
1568,603519,立霸股份,0.0855,0.1104,1.2521,0.4679,46.9102
1569,600748,上实发展,0.0854,0.0158,0.6747,0.0224,3.6073
1570,2293,罗莱生活,0.0854,0.0868,0.8792,0.2775,30.6859
1571,603737,三棵树,0.0853,0.1069,1.2696,0.2303,23.3019
1572,680,山推股份,0.0852,0.0566,8.7102,0.091,11.551
1573,300248,新开普,0.085,0.0321,0.5441,0.0995,11.485
1574,2457,青龙管业,0.085,0.036,6.1221,0.1049,10.8186
1575,2765,蓝黛传动,0.0849,0.0422,0.824,0.0854,15.7853
1576,603357,设计总院,0.0849,0.0436,0.4037,0.1335,13.704
1577,2081,金螳螂,0.0846,0.0631,0.9225,0.1081,11.092
1578,528,柳工,0.0846,0.044,2.9561,0.076,8.8079
1579,600600,青岛啤酒,0.0846,0.0718,1.6086,0.1684,21.2733
1580,2841,视源股份,0.0844,0.1852,1.3292,0.3773,38.5907
1581,600200,江苏吴中,0.0842,0.0538,1.842,0.1463,16.853
1582,2831,裕同科技,0.084,0.065,0.6261,0.1473,19.3707
1583,300578,会畅通讯,0.084,0.0625,0.6549,0.3167,34.4879
